time_sec,mid_price,best_bid,best_ask,hft_agg_inventory,imbalance
731.0,1169.0,1168.5,1169.5,33.0,0.7777777777777778
732.0,1167.0,1167.0,NaN,44.0,1.0
733.0,1167.25,1167.25,NaN,60.0,1.0
734.0,1167.25,1167.25,NaN,81.0,1.0
735.0,1167.75,1167.75,NaN,95.0,1.0
736.0,1167.375,1166.75,1168.0,97.0,0.9047619047619048
737.0,1167.0,1167.0,NaN,101.0,1.0
738.0,1167.25,1167.25,NaN,108.0,1.0
739.0,1167.75,1167.75,NaN,112.0,1.0
740.0,1170.0,1170.0,NaN,118.0,1.0
741.0,1170.0,1170.0,NaN,116.0,1.0
742.0,1169.75,1169.75,NaN,116.0,1.0
743.0,1170.25,1170.25,NaN,117.0,1.0
744.0,1170.0,1170.0,NaN,115.0,1.0
745.0,1171.25,1171.25,NaN,118.0,1.0
746.0,1172.0,1172.0,NaN,117.0,1.0
747.0,1173.5,1173.5,NaN,118.0,1.0
748.0,1173.25,1173.25,NaN,119.0,1.0
749.0,1173.0,1173.0,NaN,115.0,1.0
750.0,1173.25,1173.25,NaN,118.0,1.0
751.0,1173.0,1173.0,NaN,120.0,1.0
